Framework,1,5,10,15,20
lithium,226,140,96,73,58
symfony2,129,117,105,94,86
unfiltered,4490,1170,616,415,304
openresty,7436,2044,1144,764,590
kohana-raw,288,250,208,184,167
laravel-raw,239,188,154,126,112
codeigniter-raw,473,390,309,265,232
silex-raw,240,222,204,191,177
play1,1177,678,412,316,242
rails-stripped-jruby,635,306,188,135,104
fuel,214,165,131,106,90
slim,467,341,272,220,180
dropwizard,3374,1675,1017,731,563
micromvc,877,539,373,280,231
mojolicious-raw,637,508,405,329,303
silex,143,127,113,103,93
yesod-mongodb-raw,4075,1240,685,422,332
bottle,1040,357,198,135,104
compojure-raw,4370,1348,742,504,386
vertx,7169,2005,1082,703,552
wicket,5013,1916,1080,753,579
go,8675,2448,1181,712,627
sinatra-ruby,949,417,252,178,138
sinatra-jruby,340,215,152,117,94
spring,4534,1816,1050,737,566
tapestry,3384,1685,1027,745,578
finagle-future-pool,1769,399,203,131,84
nodejs-mongodb-raw,4231,1796,1015,713,557
finagle,1798,406,212,140,108
lift-stateless,540,496,462,430,403
nodejs-mysql-raw,2304,658,351,240,183
onion-raw,7456,2445,1338,920,695
cowboy,4023,1092,592,401,298
snap,2588,823,443,308,144
cake,193,156,127,107,92
gemini,8271,2399,1309,890,669
django,608,244,137,95,76
compojure,3603,1030,551,377,284
express-mongodb,2627,890,463,299,235
grails,1771,1022,636,477,385
express-mysql,1436,364,191,131,52
nodejs-mongodb,2909,933,494,336,248
play-scala-mongodb,3270,1584,990,733,556
flask-mysql-raw,1700,916,586,435,336
play,1385,684,427,309,245
dancer-raw,862,634,478,402,314
ringojs-convinient,1321,328,172,114,85
ringojs-raw,3654,1663,1029,719,567
phalcon,729,441,308,229,186
spark,373,357,344,306,280
kelp-raw,1278,821,617,453,300
php,512,353,258,205,171
nodejs-mysql,1569,380,196,132,53
elli,4350,1130,594,402,307
php-raw,2666,1778,1094,805,608
kohana,5490,1862,1067,746,565
laravel,264,163,110,83,66
rails-jruby,540,272,173,122,98
rails-ruby,650,317,202,148,118
servlet-raw,8237,2338,1268,869,647
play-scala,2921,969,544,398,306
flask,766,315,180,127,98
phreeze,343,313,321,316,300
yesod,3443,880,455,300,226
http-kit,4416,1309,810,575,432
tornado-raw,913,346,207,145,108
rails-stripped-ruby,788,353,216,156,123
django-stripped,721,258,143,99,76
bottle-mysql-raw,2697,1211,726,516,404
codeigniter,109,100,92,85,79
scalatra-raw,4820,1698,987,705,547
play1siena,2307,1347,916,678,533
