Framework,1,5,10,15,20
lithium,1388,876,603,460,372
symfony2,697,643,588,545,506
unfiltered,29489,6495,3284,2186,1649
http-kit,56845,11631,5608,3756,2808
kohana-raw,2144,1882,1652,1477,1335
laravel-raw,1569,1304,1094,939,827
codeigniter-raw,3609,2990,2527,2195,1944
silex-raw,1702,1596,1485,1393,1312
play1,10009,4201,2266,1571,1215
rails-stripped-jruby,2327,1314,874,655,515
fuel,1383,1088,857,715,612
slim,3476,2591,1997,1625,1377
dropwizard,32849,17458,10886,7869,6127
micromvc,7185,4605,3263,2531,2073
mojolicious-raw,3712,1738,1015,577,421
silex,918,828,742,674,616
yesod-mongodb-raw,6189,4805,3141,2013,1527
bottle,4818,1633,901,623,476
compojure-raw,24888,4311,1912,1223,899
vertx,23722,3970,2046,1389,1057
wicket,41256,15130,8440,5823,4439
go,77234,17247,7573,4514,3275
sinatra-ruby,4231,1783,1050,746,579
sinatra-jruby,421,323,303,329,319
spring,34200,13673,7875,5503,4253
tapestry,30930,14572,8566,6219,4862
finagle-future-pool,12961,2888,1479,986,742
nodejs-mongodb-raw,27470,11664,6880,4877,3766
finagle,13118,2878,1471,978,736
lift-stateless,3187,2930,2640,2425,2233
nodejs-mysql-raw,12290,3387,1808,1241,946
onion-raw,34980,6649,3293,2204,1650
cowboy,27775,7430,3866,2633,1984
snap,8363,3406,1852,1362,519
cake,1128,939,781,668,585
gemini,93334,26122,13824,9426,7209
django,3297,1248,709,497,382
compojure,25444,6739,3530,2375,1805
express-mongodb,14914,5148,2848,1939,1466
grails,14447,7729,5039,3682,2899
express-mysql,8010,1990,1020,682,517
nodejs-mongodb,17149,5490,3016,2071,1561
play-scala-mongodb,18719,6460,3425,2171,1591
flask-mysql-raw,8131,4505,2926,2155,1706
play,7240,4605,3246,2517,2059
dancer-raw,5189,3453,1723,1143,860
ringojs-convinient,5876,1082,543,357,266
ringojs-raw,31162,14437,8729,6260,4927
phalcon,5454,3224,2208,1653,1331
spark,807,788,789,779,774
kelp-raw,8370,2226,1141,622,417
php,3985,2678,1943,1530,1262
nodejs-mysql,8571,2040,1042,702,518
elli,30652,7630,3933,2660,1995
php-raw,26443,17581,10456,7792,6042
kohana,45196,12183,6682,4782,3850
laravel,1378,874,601,459,371
rails-jruby,2040,1203,805,612,490
rails-ruby,2826,1329,835,611,483
servlet-raw,82080,23134,12232,8337,6316
play-scala,22437,6198,3339,2258,1695
flask,3715,1433,818,576,443
phreeze,344,249,267,193,207
yesod,26751,7846,3973,2595,1915
openresty,97172,22005,10949,8167,6182
tornado-raw,5602,2031,1186,836,654
rails-stripped-ruby,3439,1479,901,650,509
django-stripped,3361,1224,686,477,365
bottle-mysql-raw,14925,6324,3719,2627,2025
codeigniter,560,524,486,455,426
scalatra-raw,45524,12037,6724,4901,3876
play1siena,7954,5558,2793,1896,1443
