Framework,1,5,10,15,20
vertx,21250,3791,1985,1334,1027
wicket,41272,15472,8657,5970,4537
sinatra-ruby,3472,1793,1027,745,587
sinatra-jruby,428,340,323,346,327
spring,32298,14502,8394,5910,4535
tapestry,30211,14746,8936,6346,4933
nodejs-mysql-raw,12063,3508,1665,1217,916
cake,1045,886,748,648,573
gemini,70282,20753,13100,9140,7048
django,2058,941,612,432,328
compojure,27179,7356,3936,2681,2025
express-mongodb,13376,4918,2751,1845,1389
grails,15105,7816,4970,3705,2952
express-mysql,7579,1871,873,655,461
nodejs-mongodb,16366,5454,2905,1661,1502
php,3912,2614,1896,1493,1235
nodejs-mysql,7736,1969,925,680,506
play,6828,1988,1009,686,509
php-raw,24173,17607,11181,7545,6092
rails-jruby,2027,1191,798,602,484
rails-ruby,2424,1372,856,634,506
servlet-raw,68185,22181,12115,8068,6176
flask,3112,1309,765,545,421
yesod,7050,1374,821,610,484
http-kit,7582,2020,1087,737,559
rails-stripped-jruby,2339,1302,854,638,510
rails-stripped-ruby,2807,1501,908,665,526
django-stripped,2837,1026,650,426,350
